#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_001133.9	1	230218	26079	219333	95.2719	4.19344	31.3	27.5
NC_001134.8	1	813184	80280	766352	94.2409	3.65893	31.5	33.1
NC_001135.5	1	316620	33006	294085	92.8826	3.84922	31.3	31.4
NC_001136.10	1	1531933	143399	1431212	93.4252	3.4712	31.6	31.7
NC_001137.3	1	576874	63125	551710	95.6379	4.06152	31.5	32.1
NC_001138.5	1	270161	29215	255650	94.6288	4.00056	31.4	30.6
NC_001139.9	1	1090940	106350	1029018	94.324	3.61841	31.6	32.6
NC_001140.6	1	562643	60535	535046	95.0951	3.98083	31.4	30.1
NC_001141.2	1	439888	50084	417627	94.9394	4.2148	31.5	30.7
NC_001142.9	1	745751	77279	707900	94.9244	3.83963	31.5	31.2
NC_001143.9	1	666816	65977	631863	94.7582	3.66612	31.5	34.5
NC_001144.5	1	1078177	214654	986639	91.5099	7.39905	31.2	15.1
NC_001145.3	1	924431	90844	871177	94.2393	3.63844	31.5	33.1
NC_001146.8	1	784333	83492	749108	95.5089	3.94625	31.5	32.2
NC_001147.6	1	1091291	105013	1013329	92.856	3.56714	31.5	32.6
NC_001148.4	1	948066	92840	893344	94.228	3.63265	31.5	32.2
NC_001224.1	1	85779	3177	48075	56.0452	1.33794	30.9	27.1
