#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_001133.9	1	230218	28020	221609	96.2605	4.10226	28.5	32.9
NC_001134.8	1	813184	102998	788701	96.9892	4.28708	28.7	38.9
NC_001135.5	1	316620	39804	302674	95.5954	4.22705	28.5	37.4
NC_001136.10	1	1531933	196730	1488252	97.1486	4.34549	28.7	37.5
NC_001137.3	1	576874	77869	563398	97.664	4.56739	28.6	38.3
NC_001138.5	1	270161	34391	261144	96.6624	4.29348	28.5	36.9
NC_001139.9	1	1090940	139502	1059812	97.1467	4.32451	28.7	38.5
NC_001140.6	1	562643	75521	547294	97.272	4.53431	28.6	35.8
NC_001141.2	1	439888	58265	425721	96.7794	4.46967	28.6	37.1
NC_001142.9	1	745751	97533	726489	97.4171	4.42378	28.6	37.5
NC_001143.9	1	666816	85660	648355	97.2315	4.34385	28.7	40
NC_001144.5	1	1078177	242845	1043032	96.7403	7.59009	28.3	21.5
NC_001145.3	1	924431	120363	901088	97.4749	4.40378	28.7	38.8
NC_001146.8	1	784333	103371	764531	97.4753	4.45021	28.6	38
NC_001147.6	1	1091291	139998	1058658	97.0097	4.339	28.7	38.7
NC_001148.4	1	948066	122572	923550	97.4141	4.37384	28.7	38
NC_001224.1	1	85779	74558	84824	98.8867	30.2878	28.8	33.7
